movie_id,budget_x,revenue,genre,status,score
4691,16376556.2,19496308,"Drama, Animation, Romance, War, History", Released,80
4692,48800000,13985225,"Adventure, Drama, Thriller", Released,63
4693,13000000,6903033,"Action, Thriller, Drama", Released,62
4694,130600000,893441907.4,"Crime, Romance, Drama", Released,62
4695,14000000,38625550,"Animation, Family, Adventure, Mystery", Released,71
4696,1200000,103880027,"Crime, Horror, Thriller", Released,70
4697,90000000,139877913,"Action, Adventure, Comedy", Released,64
4698,18000000,222724172,"Adventure, Comedy, Family, Science Fiction", Released,63
4699,55000000,71189835,"Adventure, Action, Comedy, Western", Released,64
4700,8020000,278663367.8,"Adventure, Fantasy", Released,68
4701,2017928,113478018.4,"Animation, Fantasy", Released,60
